posicao_ranking,nome_fundo,categoria,data_cota,cotacao,z-score
83,Desconhecido,Ações,2024-04-06,45.19,1.4149737468458712
84,Desconhecido,Ações,2024-04-21,0.0,1.4149737468458712
85,Desconhecido,Ações,2024-05-01,46.06,1.4149737468458712
86,Desconhecido,Ações,2024-04-07,0.0,1.4149737468458712
87,Desconhecido,Ações,2024-01-13,43.82,1.4149737468458712
88,Desconhecido,Ações,2024-01-14,45.18,1.4149737468458712
89,Desconhecido,Ações,2024-01-11,300.1268165859564,1.4149737468458712
90,Desconhecido,Ações,2024-02-23,44.79,1.4149737468458712
91,Desconhecido,Ações,2024-03-25,43.29,1.4149737468458712
92,Desconhecido,Ações,2024-05-21,44.24,1.4149737468458712
93,Desconhecido,Ações,2024-03-27,44.72,1.4149737468458712
94,Desconhecido,Ações,2024-03-05,44.45,1.4149737468458712
95,Desconhecido,Ações,2024-03-10,43.04,1.4149737468458712
96,Desconhecido,Ações,2024-03-14,44.69,1.4149737468458712
97,Desconhecido,Ações,2024-01-09,300.1268165859564,1.4149737468458712
98,Desconhecido,Ações,2024-02-26,44.21,1.4149737468458712
99,Desconhecido,Ações,2024-01-28,45.12,1.4149737468458712
100,Desconhecido,Ações,2024-01-29,45.96,1.4149737468458712
101,Desconhecido,Ações,2024-03-26,46.5,1.4149737468458712
102,Desconhecido,Ações,2024-03-22,47.21,1.4149737468458712
103,Desconhecido,Ações,2024-04-22,44.52,1.4149737468458712
104,Desconhecido,Ações,2024-01-21,45.24,1.4149737468458712
105,Desconhecido,Ações,2024-03-13,45.0,1.4149737468458712
106,Desconhecido,Ações,2024-03-31,43.85,1.4149737468458712
107,Desconhecido,Ações,2024-05-29,43.53,1.4149737468458712
108,Desconhecido,Ações,2024-01-02,46.13,1.4149737468458712
109,Desconhecido,Ações,2024-04-15,43.52,1.4149737468458712
110,Desconhecido,Ações,2024-03-09,44.52,1.4149737468458712
111,Desconhecido,Ações,2024-01-17,44.25,1.4149737468458712
112,Desconhecido,Ações,2024-03-07,43.37,1.4149737468458712
113,Desconhecido,Ações,2024-02-24,300.1268165859564,1.4149737468458712
114,Desconhecido,Ações,2024-01-27,44.4,1.4149737468458712
115,Desconhecido,Ações,2024-03-23,43.95,1.4149737468458712
116,Desconhecido,Ações,2024-05-14,42.71,1.4149737468458712
117,Desconhecido,Ações,2024-02-08,44.02,1.4149737468458712
118,Desconhecido,Ações,2024-04-17,45.53,1.4149737468458712
119,Desconhecido,Ações,2024-03-12,43.64,1.4149737468458712
120,Desconhecido,Ações,2024-01-23,44.38,1.4149737468458712
121,Desconhecido,Ações,2024-01-05,44.56,1.4149737468458712
122,Desconhecido,Ações,2024-05-26,300.1268165859564,1.4149737468458712
123,Desconhecido,Ações,2024-02-27,45.8,1.4149737468458712
124,Desconhecido,Ações,2024-04-03,43.87,1.4149737468458712
125,Desconhecido,Ações,2024-03-15,45.36,1.4149737468458712
126,Desconhecido,Ações,2024-01-31,45.23,1.4149737468458712
127,Desconhecido,Ações,2024-02-21,45.72,1.4149737468458712
128,Desconhecido,Ações,2024-01-12,44.43,1.4149737468458712
129,Desconhecido,Ações,2024-05-20,43.26,1.4149737468458712
130,Desconhecido,Ações,2024-05-04,44.2,1.4149737468458712
131,Desconhecido,Ações,2024-01-20,44.25,1.4149737468458712
132,Desconhecido,Ações,2024-01-28,45.12,1.4149737468458712
133,Desconhecido,Ações,2024-03-16,47.1,1.4149737468458712
134,Desconhecido,Ações,2024-04-14,43.53,1.4149737468458712
135,Desconhecido,Ações,2024-02-14,43.11,1.4149737468458712
136,Desconhecido,Ações,2024-04-16,45.77,1.4149737468458712
137,Desconhecido,Ações,2024-01-06,44.02,1.4149737468458712
138,Desconhecido,Ações,2024-01-22,44.2,1.4149737468458712
139,Desconhecido,Ações,2024-05-27,44.4,1.4149737468458712
140,Desconhecido,Ações,2024-04-04,43.38,1.4149737468458712
141,Desconhecido,Ações,2024-03-17,44.79,1.4149737468458712
142,Desconhecido,Ações,2024-05-22,44.68,1.4149737468458712
143,Desconhecido,Ações,2024-05-17,44.24,1.4149737468458712
144,Desconhecido,Ações,2024-02-16,45.88,1.4149737468458712
145,Desconhecido,Ações,2024-04-05,44.75,1.4149737468458712
146,Desconhecido,Ações,2024-04-01,45.55,1.4149737468458712
147,Desconhecido,Ações,2024-02-12,45.49,1.4149737468458712
148,Desconhecido,Ações,2024-03-04,43.95,1.4149737468458712
149,Desconhecido,Ações,2024-02-14,43.11,1.4149737468458712
150,Desconhecido,Ações,2024-03-29,44.13,1.4149737468458712
151,Desconhecido,Ações,2024-02-01,44.23,1.4149737468458712
152,Desconhecido,Ações,2024-02-05,44.39,1.4149737468458712
153,Desconhecido,Ações,2024-04-13,44.45,1.4149737468458712
154,Desconhecido,Ações,2024-01-18,46.48,1.4149737468458712
155,Desconhecido,Ações,2024-04-26,43.25,1.4149737468458712
156,Desconhecido,Ações,2024-03-21,44.23,1.4149737468458712
157,Desconhecido,Ações,2024-02-17,44.93,1.4149737468458712
158,Desconhecido,Ações,2024-05-18,45.25,1.4149737468458712
159,Desconhecido,Ações,2024-02-23,44.79,1.4149737468458712
160,Desconhecido,Ações,2024-04-08,44.5,1.4149737468458712
161,Desconhecido,Multimercado,2024-05-05,44.08,1.397509741159614
162,Desconhecido,Multimercado,2024-03-14,42.96,1.397509741159614
163,Desconhecido,Multimercado,2024-05-29,300.1268165859564,1.397509741159614
164,Desconhecido,Multimercado,2024-05-01,43.3,1.397509741159614
165,Desconhecido,Multimercado,2024-02-04,42.22,1.397509741159614
166,Desconhecido,Multimercado,2024-05-25,43.07,1.397509741159614
167,Desconhecido,Multimercado,2024-01-14,43.0,1.397509741159614
168,Desconhecido,Multimercado,2024-02-24,42.46,1.397509741159614
169,Desconhecido,Multimercado,2024-04-28,44.04,1.397509741159614
170,Desconhecido,Multimercado,2024-05-28,43.12,1.397509741159614
171,Desconhecido,Multimercado,2024-02-06,43.32,1.397509741159614
172,Desconhecido,Multimercado,2024-02-08,43.73,1.397509741159614
173,Desconhecido,Multimercado,2024-05-20,43.39,1.397509741159614
174,Desconhecido,Multimercado,2024-05-19,41.72,1.397509741159614
175,Desconhecido,Multimercado,2024-01-22,43.76,1.397509741159614
176,Desconhecido,Multimercado,2024-05-21,42.33,1.397509741159614
177,Desconhecido,Multimercado,2024-05-06,43.8,1.397509741159614
178,Desconhecido,Multimercado,2024-01-15,42.09,1.397509741159614
179,Desconhecido,Multimercado,2024-03-07,43.31,1.397509741159614
180,Desconhecido,Multimercado,2024-02-16,44.21,1.397509741159614
181,Desconhecido,Multimercado,2024-04-24,42.53,1.397509741159614
182,Desconhecido,Multimercado,2024-04-09,44.66,1.397509741159614
183,Desconhecido,Multimercado,2024-05-17,300.1268165859564,1.397509741159614
184,Desconhecido,Multimercado,2024-04-12,45.02,1.397509741159614
185,Desconhecido,Multimercado,2024-01-09,0.0,1.397509741159614
186,Desconhecido,Multimercado,2024-01-12,42.69,1.397509741159614
187,Desconhecido,Multimercado,2024-02-11,44.3,1.397509741159614
188,Desconhecido,Multimercado,2024-03-08,43.5,1.397509741159614
189,Desconhecido,Multimercado,2024-05-13,43.48,1.397509741159614
190,Desconhecido,Multimercado,2024-02-02,42.45,1.397509741159614
191,Desconhecido,Multimercado,2024-03-12,44.58,1.397509741159614
192,Desconhecido,Multimercado,2024-02-27,51.51,1.397509741159614
193,Desconhecido,Multimercado,2024-01-02,43.74,1.397509741159614
194,Desconhecido,Multimercado,2024-04-01,43.7,1.397509741159614
195,Desconhecido,Multimercado,2024-05-12,45.03,1.397509741159614
196,Desconhecido,Multimercado,2024-03-28,41.87,1.397509741159614
197,Desconhecido,Multimercado,2024-02-01,44.26,1.397509741159614
198,Desconhecido,Multimercado,2024-01-21,43.36,1.397509741159614
199,Desconhecido,Multimercado,2024-03-24,44.02,1.397509741159614
200,Desconhecido,Multimercado,2024-02-10,43.21,1.397509741159614
201,Desconhecido,Multimercado,2024-04-25,43.38,1.397509741159614
202,Desconhecido,Multimercado,2024-05-26,43.07,1.397509741159614
203,Desconhecido,Multimercado,2024-03-05,44.02,1.397509741159614
204,Desconhecido,Multimercado,2024-03-21,43.06,1.397509741159614
205,Desconhecido,Multimercado,2024-02-28,44.0,1.397509741159614
206,Desconhecido,Multimercado,2024-01-24,42.02,1.397509741159614
207,Desconhecido,Multimercado,2024-05-24,43.76,1.397509741159614
208,Desconhecido,Multimercado,2024-02-09,42.22,1.397509741159614
209,Desconhecido,Multimercado,2024-04-07,45.1,1.397509741159614
210,Desconhecido,Multimercado,2024-04-06,42.75,1.397509741159614
211,Desconhecido,Multimercado,2024-01-30,43.34,1.397509741159614
212,Desconhecido,Multimercado,2024-01-13,44.46,1.397509741159614
213,Desconhecido,Multimercado,2024-04-04,43.52,1.397509741159614
214,Desconhecido,Multimercado,2024-05-04,300.1268165859564,1.397509741159614
215,Desconhecido,Multimercado,2024-01-07,43.86,1.397509741159614
216,Desconhecido,Multimercado,2024-03-10,44.81,1.397509741159614
217,Desconhecido,Multimercado,2024-02-05,42.47,1.397509741159614
218,Desconhecido,Multimercado,2024-04-10,0.0,1.397509741159614
219,Desconhecido,Multimercado,2024-04-22,44.15,1.397509741159614
220,Desconhecido,Multimercado,2024-04-20,44.76,1.397509741159614
221,Desconhecido,Multimercado,2024-05-09,43.42,1.397509741159614
222,Desconhecido,Multimercado,2024-03-06,43.51,1.397509741159614
223,Desconhecido,Multimercado,2024-01-17,43.8,1.397509741159614
224,Desconhecido,Multimercado,2024-02-12,43.38,1.397509741159614
225,Desconhecido,Multimercado,2024-01-08,43.95,1.397509741159614
226,Desconhecido,Multimercado,2024-03-02,43.56,1.397509741159614
227,Desconhecido,Multimercado,2024-02-29,44.44,1.397509741159614
228,Desconhecido,Multimercado,2024-04-21,43.71,1.397509741159614
229,Desconhecido,Multimercado,2024-01-31,43.6,1.397509741159614
230,Desconhecido,Multimercado,2024-02-25,43.23,1.397509741159614
231,Desconhecido,Multimercado,2024-04-19,43.83,1.397509741159614
232,Desconhecido,Multimercado,2024-04-23,43.41,1.397509741159614
233,Desconhecido,Multimercado,2024-02-13,43.88,1.397509741159614
234,Desconhecido,Multimercado,2024-01-23,43.67,1.397509741159614
235,Desconhecido,Multimercado,2024-01-27,41.08,1.397509741159614
236,Desconhecido,Multimercado,2024-05-14,45.0,1.397509741159614
237,Desconhecido,Multimercado,2024-02-17,43.47,1.397509741159614
238,Desconhecido,Multimercado,2024-01-12,42.69,1.397509741159614
239,Desconhecido,Multimercado,2024-03-31,43.9,1.397509741159614
240,Desconhecido,Multimercado,2024-03-18,43.15,1.397509741159614
241,Desconhecido,Multimercado,2024-04-16,44.68,1.397509741159614
242,Desconhecido,Multimercado,2024-04-15,44.56,1.397509741159614
243,Desconhecido,Multimercado,2024-02-26,43.8,1.397509741159614
244,Desconhecido,Multimercado,2024-01-29,44.23,1.397509741159614
245,Desconhecido,Multimercado,2024-05-23,43.44,1.397509741159614
246,Desconhecido,Multimercado,2024-02-19,43.67,1.397509741159614
247,Desconhecido,Multimercado,2024-02-07,44.78,1.397509741159614
248,Desconhecido,Multimercado,2024-03-22,45.41,1.397509741159614
249,Desconhecido,Multimercado,2024-02-22,42.73,1.397509741159614
250,Desconhecido,Multimercado,2024-05-18,44.35,1.397509741159614
251,Desconhecido,Multimercado,2024-03-13,43.23,1.397509741159614
252,Desconhecido,Multimercado,2024-02-23,43.41,1.397509741159614
253,Desconhecido,Multimercado,2024-05-22,42.43,1.397509741159614
254,Desconhecido,Multimercado,2024-03-11,300.1268165859564,1.397509741159614
255,Desconhecido,Multimercado,2024-01-11,43.32,1.397509741159614
256,Desconhecido,Multimercado,2024-04-11,44.4,1.397509741159614
257,Desconhecido,Multimercado,2024-05-03,300.1268165859564,1.397509741159614
258,Desconhecido,Multimercado,2024-05-08,43.3,1.397509741159614
259,Desconhecido,Multimercado,2024-03-25,43.51,1.397509741159614
260,Desconhecido,Multimercado,2024-03-23,43.64,1.397509741159614
261,Desconhecido,Multimercado,2024-04-13,54.74,1.397509741159614
262,Desconhecido,Multimercado,2024-02-14,300.1268165859564,1.397509741159614
263,Desconhecido,Multimercado,2024-04-08,44.12,1.397509741159614
264,Desconhecido,Multimercado,2024-01-18,44.06,1.397509741159614
265,Desconhecido,Multimercado,2024-01-06,43.98,1.397509741159614
266,Desconhecido,Multimercado,2024-03-02,43.56,1.397509741159614
267,Desconhecido,Multimercado,2024-03-19,300.1268165859564,1.397509741159614
268,Desconhecido,Multimercado,2024-05-16,42.86,1.397509741159614
269,Desconhecido,Multimercado,2024-01-20,42.78,1.397509741159614
270,Desconhecido,Multimercado,2024-01-03,43.97,1.397509741159614
271,Desconhecido,Multimercado,2024-04-03,44.51,1.397509741159614
272,Desconhecido,Multimercado,2024-05-11,44.5,1.397509741159614
273,Desconhecido,Multimercado,2024-03-04,44.14,1.397509741159614
274,Desconhecido,Multimercado,2024-04-17,44.43,1.397509741159614
275,Desconhecido,Multimercado,2024-02-20,43.37,1.397509741159614
276,Desconhecido,Multimercado,2024-04-14,43.59,1.397509741159614
277,Desconhecido,Multimercado,2024-05-16,42.86,1.397509741159614
278,Desconhecido,Multimercado,2024-04-30,44.02,1.397509741159614
279,Desconhecido,Multimercado,2024-05-07,44.93,1.397509741159614
280,Desconhecido,Multimercado,2024-04-27,44.92,1.397509741159614
281,Desconhecido,Multimercado,2024-01-05,44.21,1.397509741159614
282,Desconhecido,Multimercado,2024-03-01,44.17,1.397509741159614
283,Desconhecido,Multimercado,2024-04-05,43.61,1.397509741159614
284,Desconhecido,Multimercado,2024-04-26,42.86,1.397509741159614
285,Desconhecido,Multimercado,2024-03-27,44.74,1.397509741159614
286,Desconhecido,Multimercado,2024-03-17,42.27,1.397509741159614
287,Desconhecido,Multimercado,2024-01-16,43.0,1.397509741159614
288,Desconhecido,Multimercado,2024-03-03,43.45,1.397509741159614
289,Desconhecido,Multimercado,2024-02-03,44.67,1.397509741159614
290,Desconhecido,Multimercado,2024-02-21,44.39,1.397509741159614
291,Desconhecido,Multimercado,2024-04-18,300.1268165859564,1.397509741159614
292,Desconhecido,Multimercado,2024-03-16,43.27,1.397509741159614
293,Desconhecido,Multimercado,2024-04-27,44.92,1.397509741159614
294,Desconhecido,Multimercado,2024-03-26,42.55,1.397509741159614
295,Desconhecido,Multimercado,2024-01-04,43.34,1.397509741159614
296,Desconhecido,Multimercado,2024-01-01,45.35,1.397509741159614
297,Desconhecido,Multimercado,2024-05-27,44.01,1.397509741159614
298,Desconhecido,Multimercado,2024-03-29,43.09,1.397509741159614
299,Desconhecido,Multimercado,2024-04-29,43.95,1.397509741159614
300,Desconhecido,Multimercado,2024-03-20,44.47,1.397509741159614
301,Desconhecido,Multimercado,2024-03-15,43.4,1.397509741159614
302,Desconhecido,Multimercado,2024-05-15,44.13,1.397509741159614
303,Desconhecido,Multimercado,2024-01-25,44.64,1.397509741159614
304,Desconhecido,Multimercado,2024-05-02,42.41,1.397509741159614
305,Desconhecido,Multimercado,2024-03-09,44.51,1.397509741159614
306,Desconhecido,Multimercado,2024-03-30,43.58,1.397509741159614
307,Desconhecido,Multimercado,2024-01-10,42.82,1.397509741159614
308,Desconhecido,Multimercado,2024-01-19,44.87,1.397509741159614
309,Desconhecido,Multimercado,2024-02-15,42.57,1.397509741159614
310,Desconhecido,Multimercado,2024-05-10,44.17,1.397509741159614
311,Desconhecido,Multimercado,2024-03-07,43.31,1.397509741159614
312,Desconhecido,Multimercado,2024-02-18,45.64,1.397509741159614
313,Desconhecido,Multimercado,2024-04-02,43.77,1.397509741159614
314,Desconhecido,Multimercado,2024-01-26,43.48,1.397509741159614
315,Desconhecido,Multimercado,2024-01-28,43.95,1.397509741159614
316,Desconhecido,Renda Fixa,2024-05-06,87.0,1.3883105222535546
317,Desconhecido,Renda Fixa,2024-02-11,89.6,1.3883105222535546
318,Desconhecido,Renda Fixa,2024-02-24,86.43,1.3883105222535546
319,Desconhecido,Renda Fixa,2024-01-09,87.92,1.3883105222535546
320,Desconhecido,Renda Fixa,2024-02-01,89.02,1.3883105222535546
321,Desconhecido,Renda Fixa,2024-03-02,86.32,1.3883105222535546
322,Desconhecido,Renda Fixa,2024-04-17,87.9,1.3883105222535546
323,Desconhecido,Renda Fixa,2024-04-24,90.52,1.3883105222535546
324,Desconhecido,Renda Fixa,2024-03-04,88.02,1.3883105222535546
325,Desconhecido,Renda Fixa,2024-01-23,86.03,1.3883105222535546
326,Desconhecido,Renda Fixa,2024-03-25,87.1,1.3883105222535546
327,Desconhecido,Renda Fixa,2024-03-23,87.38,1.3883105222535546
328,Desconhecido,Renda Fixa,2024-05-07,86.69,1.3883105222535546
329,Desconhecido,Renda Fixa,2024-02-16,84.26,1.3883105222535546
330,Desconhecido,Renda Fixa,2024-04-05,91.03,1.3883105222535546
331,Desconhecido,Renda Fixa,2024-01-04,87.57,1.3883105222535546
332,Desconhecido,Renda Fixa,2024-02-29,88.3,1.3883105222535546
333,Desconhecido,Renda Fixa,2024-05-01,88.04,1.3883105222535546
334,Desconhecido,Renda Fixa,2024-04-14,87.29,1.3883105222535546
335,Desconhecido,Renda Fixa,2024-02-27,88.81,1.3883105222535546
336,Desconhecido,Renda Fixa,2024-05-23,91.13,1.3883105222535546
337,Desconhecido,Renda Fixa,2024-04-21,87.21,1.3883105222535546
338,Desconhecido,Renda Fixa,2024-04-06,87.33,1.3883105222535546
339,Desconhecido,Renda Fixa,2024-02-10,85.93,1.3883105222535546
340,Desconhecido,Renda Fixa,2024-05-04,88.59,1.3883105222535546
341,Desconhecido,Renda Fixa,2024-02-25,87.99,1.3883105222535546
342,Desconhecido,Renda Fixa,2024-03-22,89.52,1.3883105222535546
343,Desconhecido,Renda Fixa,2024-02-22,88.74,1.3883105222535546
344,Desconhecido,Renda Fixa,2024-05-22,85.75,1.3883105222535546
345,Desconhecido,Renda Fixa,2024-04-20,86.76,1.3883105222535546
346,Desconhecido,Renda Fixa,2024-03-24,87.07,1.3883105222535546
347,Desconhecido,Renda Fixa,2024-03-08,88.0,1.3883105222535546
348,Desconhecido,Renda Fixa,2024-04-10,90.46,1.3883105222535546
349,Desconhecido,Renda Fixa,2024-01-21,90.89,1.3883105222535546
350,Desconhecido,Renda Fixa,2024-04-11,86.6,1.3883105222535546
351,Desconhecido,Renda Fixa,2024-05-10,90.06,1.3883105222535546
352,Desconhecido,Renda Fixa,2024-03-20,88.23,1.3883105222535546
353,Desconhecido,Renda Fixa,2024-05-25,85.72,1.3883105222535546
354,Desconhecido,Renda Fixa,2024-03-13,91.01,1.3883105222535546
355,Desconhecido,Renda Fixa,2024-03-26,300.1268165859564,1.3883105222535546
356,Desconhecido,Renda Fixa,2024-01-07,90.03,1.3883105222535546
357,Desconhecido,Renda Fixa,2024-05-21,86.06,1.3883105222535546
358,Desconhecido,Renda Fixa,2024-04-29,90.53,1.3883105222535546
359,Desconhecido,Renda Fixa,2024-02-13,88.35,1.3883105222535546
360,Desconhecido,Renda Fixa,2024-02-26,88.38,1.3883105222535546
361,Desconhecido,Renda Fixa,2024-04-03,300.1268165859564,1.3883105222535546
362,Desconhecido,Renda Fixa,2024-04-23,86.9,1.3883105222535546
363,Desconhecido,Renda Fixa,2024-05-17,89.55,1.3883105222535546
364,Desconhecido,Renda Fixa,2024-05-28,86.84,1.3883105222535546
365,Desconhecido,Renda Fixa,2024-05-02,85.84,1.3883105222535546
366,Desconhecido,Renda Fixa,2024-02-12,89.65,1.3883105222535546
367,Desconhecido,Renda Fixa,2024-03-10,87.68,1.3883105222535546
368,Desconhecido,Renda Fixa,2024-02-21,88.42,1.3883105222535546
369,Desconhecido,Renda Fixa,2024-02-02,86.94,1.3883105222535546
370,Desconhecido,Renda Fixa,2024-01-11,90.48,1.3883105222535546
371,Desconhecido,Renda Fixa,2024-02-14,87.04,1.3883105222535546
372,Desconhecido,Renda Fixa,2024-01-03,87.98,1.3883105222535546
373,Desconhecido,Renda Fixa,2024-04-13,87.22,1.3883105222535546
374,Desconhecido,Renda Fixa,2024-01-24,88.55,1.3883105222535546
375,Desconhecido,Renda Fixa,2024-01-18,89.59,1.3883105222535546
376,Desconhecido,Renda Fixa,2024-04-25,300.1268165859564,1.3883105222535546
377,Desconhecido,Renda Fixa,2024-05-08,84.59,1.3883105222535546
378,Desconhecido,Renda Fixa,2024-03-27,89.71,1.3883105222535546
379,Desconhecido,Renda Fixa,2024-03-12,300.1268165859564,1.3883105222535546
380,Desconhecido,Renda Fixa,2024-04-27,91.04,1.3883105222535546
381,Desconhecido,Renda Fixa,2024-04-02,88.56,1.3883105222535546
382,Desconhecido,Renda Fixa,2024-01-10,91.14,1.3883105222535546
383,Desconhecido,Renda Fixa,2024-04-04,86.09,1.3883105222535546
384,Desconhecido,Renda Fixa,2024-03-28,86.8,1.3883105222535546
385,Desconhecido,Renda Fixa,2024-05-26,89.9,1.3883105222535546
386,Desconhecido,Renda Fixa,2024-04-04,86.09,1.3883105222535546
387,Desconhecido,Renda Fixa,2024-03-21,88.96,1.3883105222535546
388,Desconhecido,Renda Fixa,2024-01-19,87.95,1.3883105222535546
389,Desconhecido,Renda Fixa,2024-02-19,87.45,1.3883105222535546
390,Desconhecido,Renda Fixa,2024-03-18,89.14,1.3883105222535546
391,Desconhecido,Renda Fixa,2024-05-09,300.1268165859564,1.3883105222535546
392,Desconhecido,Renda Fixa,2024-01-30,90.07,1.3883105222535546
393,Desconhecido,Renda Fixa,2024-02-12,89.65,1.3883105222535546
394,Desconhecido,Renda Fixa,2024-05-27,88.68,1.3883105222535546
395,Desconhecido,Renda Fixa,2024-05-20,88.9,1.3883105222535546
396,Desconhecido,Renda Fixa,2024-02-05,88.58,1.3883105222535546
397,Desconhecido,Renda Fixa,2024-04-16,88.19,1.3883105222535546
398,Desconhecido,Renda Fixa,2024-04-01,88.19,1.3883105222535546
399,Desconhecido,Renda Fixa,2024-05-19,88.4,1.3883105222535546
400,Desconhecido,Renda Fixa,2024-01-26,88.58,1.3883105222535546
401,Desconhecido,Renda Fixa,2024-02-04,300.1268165859564,1.3883105222535546
402,Desconhecido,Renda Fixa,2024-05-11,85.98,1.3883105222535546
403,Desconhecido,Renda Fixa,2024-05-12,88.87,1.3883105222535546
404,Desconhecido,Renda Fixa,2024-01-17,87.97,1.3883105222535546
