id_fundo,data_cota,cotacao,rentabilidade_dia,volume_negociado
19,2024-05-13,0.0001,0.037386,11163
174,2024-05-05,37.1376,-8e-06,76439
92,2024-01-16,23.957,-0.033324,631150
40,2024-04-08,86.7069,-0.01546,858383
62,04/04/2024,42.4015,-0.01812,964581
102,2024-02-17,64.5774,0.013587,236772
17,2024-01-10,83.7706,-0.017547,668404
153,2024-01-03,96.193,0.007696,566648
199,2024-04-14,78.3828,0.0126,349322
123,2024-03-05,35.11,0.005495,256726
124,2024-05-06,20.1826,0.014267,903351
75,25/01/2024,91.2879,-0.005221,489713
169,2024-04-08,49.678,0.016646,918322
88,2024-04-05,39.947,-0.002169,445364
93,2024-05-19,16.4226,-0.017556,638165
181,2024-04-15,50.9941,0.019147,551487
133,2024-02-24,98.108,0.006023,466250
107,2024-05-23,15.1161,-0.001789,105108
189,2024-03-02,54.9608,-0.003576,172772
166,2024-03-05,51.4114,0.018895,628660
148,2024-03-23,48.6101,0.035529,722599
11,2024-03-27,19.6059,-0.025584,309832
79,2024-03-19,59.7191,-0.001057,954369
90,2024-04-29,23.8767,0.008638,721122
86,2024-03-15,63.7375,-0.006828,851171
191,2024-03-29,9816.1936,-0.01212,-439544
44,2024-01-01,22.7683,-0.000245,847442
34,2024-01-26,51.2743,0.029374,-563167
113,2024-01-18,25.5892,-0.007844,22386
52,2024-03-05,34.8958,0.031137,156573
71,2024-01-08,24.671,-0.003445,699987
48,2024-05-16,67.9573,0.025848,852973
137,29/03/2024,54.4012,0.015943,178016
66,2024-03-20,82.3184,0.010872,842756
5,04/04/2024,81.1707,0.002807,2368
35,28/05/2024,55.0254,0.024607,772895
95,2024-02-15,11.2092,-0.033957,-473211
43,2024-04-18,27.485,0.034294,880172
126,2024-01-31,86.3774,0.002892,87621
176,2024-03-28,71.8657,0.013215,91883
9,2024-01-19,0.0001,0.035082,491046
189,14/02/2024,54.866,-0.005295,545944
187,2024-03-05,84.1558,0.013984,716087
135,2024-04-05,35.9205,0.013278,653514
101,2024-04-12,72.0006,0.028087,845408
109,2024-03-31,12.0368,0.011795,352427
158,2024-02-02,44.8576,-0.026878,888827
123,2024-05-15,35.3315,0.011837,417263
182,2024-04-09,57.3859,0.015953,379016
54,2024-02-17,65.5529,0.014599,897759
116,28/03/2024,22.9015,-0.009923,81932
25,2024-05-16,0.0001,-0.033816,78836
46,2024-05-23,16.5396,-0.031616,735288
113,2024-05-20,0.0001,-0.003391,448844
68,2024-02-09,39.5187,0.133393,635516
45,2024-03-29,82.7664,0.004111,376090
193,2024-03-10,14.4512,0.013694,471372
1,2024-02-08,0.0001,-0.012759,726736
87,2024-01-07,85.3861,-0.003035,244626
25,2024-04-27,14.5243,0.008314,986536
68,2024-02-05,34.8923,0.000709,843646
25,2024-03-11,14.2503,-0.010707,805149
145,2024-02-12,0.0001,0.000226,808252
85,15/02/2024,69.7426,-0.033186,42922
75,2024-03-31,90.9964,-0.008398,786695
172,2024-02-17,55.4398,-0.002076,476161
132,2024-01-20,20.3687,0.023916,-862718
175,17/04/2024,46.3385,0.045134,569703
31,2024-04-06,64.3932,-0.01997,148836
140,2024-03-07,46.2642,-0.004936,682203
185,2024-04-06,50.4462,0.0373,86331
60,2024-05-06,57.523,-0.001299,409585
163,2024-04-08,17.6986,0.020586,765075
111,2024-03-07,18.0148,0.038181,361453
90,2024-04-23,2443.9481,0.032411,555942
68,2024-05-26,34.8337,-0.000973,697043
34,2024-03-05,49.1338,-0.013598,282300
182,2024-04-30,57.6659,0.020909,886036
39,28/05/2024,106.2893,0.300158,521758
183,2024-02-12,37.8467,-0.006427,793217
57,25/04/2024,29.6125,-0.006205,481443
167,2024-03-01,51.3466,0.045423,312969
92,2024-03-07,25.2516,0.018915,687897
106,2024-01-04,4037.6676,-0.000688,150515
118,2024-01-04,25.6383,0.009383,441136
13,2024-01-29,26.2551,-0.018141,572678
179,2024-05-06,51.065,-0.002508,304784
169,2024-03-05,48.0475,-0.016721,698906
147,2024-03-13,0.0001,0.008687,372892
13,14/02/2024,26.7698,0.001107,504238
132,2024-01-13,19.0122,-0.044274,553023
110,2024-04-07,1767.5191,-0.028442,-364501
117,2024-05-26,85.7171,-0.001888,651230
166,2024-01-07,50.1734,-0.00564,554038
140,2024-04-22,48.2075,0.036861,372889
130,2024-01-07,27.66,-0.003455,713220
9,2024-05-09,66.5863,-0.008328,721187
55,2024-05-28,90.3284,0.000254,722342
122,2024-02-05,24.3616,-0.031218,385644
10,2024-04-28,37.2611,-0.002184,186082
67,2024-02-21,79.3869,0.02581,728097
164,2024-02-03,86.1517,-0.004986,378754
107,2024-01-03,15.1104,-0.002162,673029
106,2024-04-06,39.1768,-0.030386,505407
28,2024-01-09,69.6684,0.005943,-829607
122,2024-05-15,24.4641,-0.027144,710765
106,2024-03-14,40.6512,0.006108,736782
172,2024-05-14,55.6511,0.001727,962307
62,2024-05-17,42.8537,-0.007647,917441
181,2024-01-08,49.7399,-0.005919,448059
107,2024-02-15,14.9233,-0.014521,433052
43,2024-03-15,25.5984,-0.036702,655282
45,2024-02-04,81.4317,-0.012082,462855
58,2024-02-24,89.1086,0.023039,18009
124,2024-01-18,20.5171,0.031079,378836
88,2024-04-11,39.8011,-0.005812,24486
195,2024-02-11,60.4155,0.025619,576185
175,2024-01-04,44.9097,0.012909,501752
126,06/03/2024,85.5436,-0.006788,268087
197,2024-04-16,1337.4852,0.004872,916233
139,2024-02-29,33.605,-0.01896,619310
10,2024-03-29,38.1514,0.021657,382943
172,2024-02-16,0.0001,0.022088,466570
25,2024-05-02,14.2058,-0.013798,391671
65,2024-01-06,46.5985,-0.027541,940805
30,2024-05-16,83.165,0.020576,244606
62,2024-01-06,42.4498,-0.017001,373557
158,2024-05-12,46.4519,0.007706,256534
17,28/01/2024,84.9438,-0.003788,421181
125,2024-05-24,44.5612,-0.012419,102563
94,2024-02-20,69.6062,-0.023161,340964
110,2024-01-24,18.1013,-0.005018,703257
70,2024-01-30,86.1456,0.055793,698292
66,12/01/2024,81.4696,0.000449,507213
104,2024-03-13,5839.5333,-0.015781,573866
168,2024-05-12,56.2099,0.010816,471910
36,2024-05-02,83.588,-0.009661,435472
173,2024-03-07,51.4781,0.029709,-758743
83,2024-02-02,58.7657,-0.00665,842465
12,2024-04-30,66.6758,-0.019185,-978272
130,18/01/2024,28.2358,0.017288,240635
109,2024-03-03,0.0001,-0.01135,936485
168,2024-04-05,41.7554,-0.249117,259936
136,2024-02-17,21.7715,0.00639,113811
146,03/05/2024,50.359,-0.003261,-717781
179,10/03/2024,52.3573,0.022734,512643
70,2024-05-13,83.2298,0.020058,763860
136,2024-02-14,22.1249,0.022728,777251
192,2024-03-20,58.6732,0.006551,947222
10,2024-05-10,35.9241,-0.037987,635201
147,2024-04-29,38.3506,-0.016366,310902
178,2024-04-27,11.8185,0.016025,806778
136,2024-03-29,21.4277,-0.009501,754714
131,2024-02-23,43.0258,0.009042,313999
96,2024-01-27,93.8254,0.019377,501043
9,2024-01-12,65.6418,-0.022394,2973
84,2024-01-30,67.2842,0.134157,323942
14,2024-04-28,26.0659,0.007789,666402
21,2024-03-16,38.9381,-0.000471,961295
61,2024-05-09,0.0001,-0.033265,972988
105,2024-02-27,84.2819,-0.006612,967373
63,2024-02-03,54.5412,0.012587,160955
185,10/05/2024,49.0811,0.009231,887753
140,2024-04-04,47.8884,0.029997,498177
6,2024-05-01,9560.0092,0.026736,520240
109,2024-04-08,12.3615,0.039088,152942
23,2024-05-28,59.4057,0.01358,910421
160,2024-03-06,19.602,0.03967,981951
124,2024-03-10,19.5964,-0.015189,75339
160,2024-04-13,18.2339,-0.032892,759424
113,2024-03-15,26.4464,0.025389,93760
195,21/03/2024,60.4259,0.025795,772577
68,2024-01-20,35.4582,0.016939,253742
159,2024-05-12,74.2639,0.020843,153304
54,2024-03-21,65.585,0.015096,79130
105,2024-01-22,8328.7874,-0.018329,145258
149,2024-03-31,67.8819,0.043588,-606066
185,2024-05-13,49.4576,0.016972,682497
57,2024-05-24,29.8049,0.000254,376065
76,2024-01-24,35.6724,0.012669,572715
92,2024-01-22,25.3768,0.023967,622896
178,2024-05-19,11.4851,-0.012633,977943
25,2024-03-08,14.6952,0.020174,254154
65,2024-02-18,47.9536,0.000739,847258
126,13/02/2024,84.4296,-0.019723,517811
181,2024-03-13,51.7771,0.034796,740623
17,2024-02-26,0.0001,-0.024185,876824
87,2024-01-15,85.2737,-0.004347,690814
129,2024-03-03,81.9562,0.010668,824761
151,2024-01-20,72.6693,0.006544,756933
174,2024-04-09,37.5157,0.010172,-795079
93,2024-04-01,1673.2566,0.000989,890986
145,2024-02-13,13.4832,-0.020245,126017
67,2024-05-18,7686.0337,-0.006838,759122
125,2024-04-03,45.5765,0.010083,919633
144,2024-02-13,32.248,0.030472,829659
67,2024-02-10,79.2178,0.023624,233914
39,2024-01-18,81.0345,-0.008766,726723
200,2024-02-11,0.0001,-0.024288,534605
53,2024-05-20,44.9508,-0.00257,664206
179,2024-02-09,52.8337,0.032042,74690
106,2024-05-13,41.157,0.018626,15465
120,2024-05-15,35.045,0.040327,641469
4,2024-03-26,23.2575,-0.056168,779722
106,2024-03-18,41.6289,0.030304,54395
162,2024-05-08,94.4491,0.020657,188880
37,2024-03-16,85.1837,-0.002746,958087
39,2024-05-19,81.5936,-0.001926,74595
165,21/01/2024,58.7015,0.025314,395671
7,2024-04-04,26.6356,-0.00629,988447
62,2024-03-18,42.341,-0.01952,856672
189,2024-01-16,54.4237,-0.013313,873209
136,2024-04-24,21.9808,0.016066,817399
115,2024-01-19,35.1722,0.022691,926358
29,2024-02-26,24.9142,0.010519,921461
120,2024-02-20,32.3775,-0.03886,212912
116,2024-03-24,22.7471,-0.016595,740042
173,2024-05-09,49.7363,-0.005131,700005
136,2024-01-22,21.6376,0.000198,598767
118,2024-05-09,26.4531,0.041459,707406
47,2024-03-12,95.7346,-0.007326,28267
163,2024-03-30,0.0001,0.010143,694824
159,2024-05-11,69.3727,-0.046392,586676
157,2024-01-30,29.6646,-0.009525,815482
162,2024-05-15,92.3153,-0.002401,629369
15,2024-03-12,45.1702,0.00348,47871
139,2024-05-24,33.7701,-0.01414,281306
3,2024-01-07,45.0418,-0.005127,235411
56,2024-01-05,71.4438,0.004199,536711
11,2024-04-16,19.3271,-0.039444,335584
34,2024-05-09,46.8969,-0.058505,66542
10,2024-01-28,37.4099,0.001801,39577
68,2024-03-26,35.6348,0.022004,800388
161,2024-02-16,57.8666,0.030967,962052
14,2024-05-26,26.2104,0.013373,676538
96,2024-03-31,89.5142,-0.027462,202129
184,24/02/2024,51.9746,-0.004218,894430
132,2024-04-20,20.08,0.009403,830440
92,2024-02-15,24.631,-0.006128,353300
30,2024-05-04,77.797,-0.045297,194361
174,2024-02-24,35.7793,-0.036583,88769
169,2024-04-15,49.1855,0.006567,308339
191,2024-05-26,100.0416,0.006797,-563022
99,2024-02-28,52.331,-0.025599,334619
37,2024-05-02,84.857,-0.00657,341118
119,2024-04-08,44.5046,0.000907,72408
12,2024-04-04,67.0885,-0.013114,15391
3,2024-03-19,47.2969,0.044681,885098
11,2024-03-24,21.3683,0.062004,-957447
129,2024-04-28,8225.5313,0.014356,145649
173,01/03/2024,0.0001,0.027635,410329
30,2024-03-29,79.1879,-0.028229,304650
183,2024-01-29,38.4815,0.010236,423652
65,2024-05-19,47.3199,-0.012487,429822
77,2024-01-15,50.8455,0.089258,726740
50,22/03/2024,54.9613,-0.019432,713030
3,2024-05-07,45.9036,0.013907,373302
62,2024-02-16,42.8027,-0.008828,55355
142,21/05/2024,41.7716,0.025459,17880
168,2024-04-29,54.3462,-0.022698,645973
58,2024-05-02,87.8381,0.008452,410890
194,2024-04-06,69.968,-0.012276,550829
2,2024-03-26,48.2983,0.014027,697757
163,2024-03-25,17.5816,0.013842,341407
184,2024-01-04,52.5164,0.006161,-949979
80,2024-05-01,71.0132,0.001645,827781
197,2024-03-17,13.7825,0.035502,318442
126,2024-05-11,87.858,0.020083,561189
183,2024-02-10,38.1527,0.001605,965872
27,2024-04-15,18.318,0.00873,59550
42,2024-05-27,16.6819,-0.015566,672730
194,2024-05-14,68.4259,-0.034046,922721
140,2024-04-24,45.8954,-0.012869,590788
124,2024-02-08,20.9971,0.055203,547126
81,2024-04-09,23.785,-0.002426,132064
128,03/02/2024,23.2513,0.015878,600326
29,2024-03-20,25.0595,0.016412,205291
190,2024-05-16,80.4096,-0.003446,915948
184,07/05/2024,50.9095,-0.024626,646011
48,19/02/2024,57.1462,-0.137351,726097
200,2024-01-08,20.7242,-0.009708,943834
111,2024-03-14,17.5322,0.010371,887966
40,2024-05-13,8428.6614,-0.042942,109777
66,2024-02-22,81.3993,-0.000414,792255
96,2024-01-02,90.9121,-0.012274,370389
93,2024-02-24,16.8481,0.007903,300812
51,2024-03-28,14.8242,0.002697,779730
172,2024-02-28,55.9775,0.007602,875400
86,2024-04-24,62.0405,-0.033271,508520
158,2024-01-03,47.4997,0.030438,518478
189,2024-02-02,54.5803,-0.010474,389428
128,2024-02-06,22.7501,-0.006018,891525
41,2024-03-28,19.6335,0.023375,717127
26,2024-01-30,0.0001,-0.000371,629384
144,2024-03-23,31.0803,-0.006841,126653
1,2024-05-23,32.0183,0.007865,88394
76,2024-05-12,35.2051,-0.000597,768632
152,2024-02-11,24.6105,-0.009356,-737613
65,2024-04-23,47.3082,-0.012729,167098
97,2024-02-23,35.8278,0.000726,749334
142,2024-05-22,39.5222,-0.029761,835429
132,2024-02-21,19.5113,-0.019184,219492
56,2024-02-09,68.3134,-0.039801,440283
92,2024-03-26,23.7964,-0.039804,-127255
156,2024-05-26,61.1625,-0.001475,521353
152,2024-03-05,24.3532,-0.019712,491426
165,2024-05-21,56.3846,-0.015154,183389
2,2024-04-13,47.3023,-0.006885,56730
53,2024-03-19,43.5672,-0.033273,334712
160,16/03/2024,1866.5435,-0.010002,655579
90,2024-01-10,23.8563,0.007776,388193
18,2024-01-23,94.2716,0.043066,699509
42,2024-02-26,16.8439,-0.006005,443710
17,2024-02-07,86.6719,0.016479,965103
32,2024-04-21,22.0799,0.010964,948935
21,2024-04-24,39.6338,0.017388,538439
51,2024-02-08,15.1416,0.024165,896829
198,2024-05-13,88.3685,-0.00205,117719
113,2024-03-31,25.6573,-0.005207,525923
44,2024-02-07,21.9641,-0.035557,312132
120,2024-01-05,34.8674,0.035053,717129
151,29/01/2024,73.8441,0.022816,-421264
95,2024-02-21,11.6908,0.007554,104985
147,2024-02-24,0.0001,-0.018428,425783
75,2024-01-26,90.0579,-0.018625,561695
150,2024-01-18,26.4326,0.007368,156022
69,2024-02-03,41.2331,0.011988,288873
22,2024-04-03,84.0941,-0.031679,283663
108,2024-04-11,0.0001,0.01616,954393
141,2024-02-15,86.3964,0.006473,504013
180,2024-04-05,32.7595,0.020939,696475
115,2024-04-11,34.2026,-0.005503,710082
122,2024-02-06,25.9196,0.030738,738162
140,2024-02-01,46.7378,0.00525,71709
172,2024-05-05,54.8927,-0.011925,898730
58,2024-05-07,86.0427,-0.01216,552089
93,2024-03-25,17.5571,0.050317,808348
162,2024-04-04,0.0001,-0.021748,362734
157,2024-05-06,29.6984,-0.008394,753419
51,2024-03-12,14.8486,0.00435,180518
110,2024-03-16,18.3704,0.009775,554163
153,2024-01-01,96.9423,0.015546,234280
181,2024-03-18,48.5385,-0.029929,912453
50,2024-03-29,53.6899,-0.042115,375205
71,2024-05-06,24.9307,0.007044,560582
164,29/03/2024,86.3447,-0.002756,819608
109,2024-02-13,11.8488,-0.004008,484702
33,2024-05-06,17.7507,-0.019157,300906
200,2024-02-19,20.9101,-0.000825,514441
151,03/03/2024,73.442,0.017246,859419
46,2024-04-06,17.2937,0.012534,795002
48,2024-01-13,64.3526,-0.028567,165043
12,2024-02-26,66.7862,-0.017561,358981
121,2024-03-04,50.3101,0.003466,-304199
187,2024-02-17,8316.8374,0.002086,771467
16,2024-04-11,57.4294,-0.024385,951578
175,2024-04-01,43.5817,-0.017043,329238
51,2024-04-03,14.4656,-0.021562,24243
67,2024-03-12,0.0001,0.208079,249959
77,2024-03-22,47.4237,0.015954,827141
143,2024-05-29,83.0819,-0.050134,503519
10,2024-03-19,35.7559,-0.042492,252347
59,2024-03-18,28.5312,0.027612,243516
179,2024-03-08,51.5737,0.007429,359212
104,2024-01-15,57.5749,-0.029609,-693895
52,2024-03-20,33.7094,-0.003918,199069
115,2024-02-26,33.668,-0.021047,767056
151,2024-03-08,70.7814,-0.019605,231686
80,2024-01-20,71.4323,0.007555,497182
105,2024-04-25,83.8541,-0.011654,482127
166,16/05/2024,51.0993,0.01271,531883
199,2024-04-25,76.6357,-0.00997,732997
178,25/05/2024,11.8026,0.01466,565777
83,16/02/2024,60.2469,0.018386,916876
174,2024-04-21,37.4827,0.009284,38147
158,2024-04-23,46.5385,0.009587,36618
50,2024-03-07,57.7071,0.029556,928787
68,2024-01-13,35.0499,0.005228,148429
131,2024-02-08,45.9417,0.077424,355731
137,2024-04-26,53.0475,-0.009338,930210
60,2024-04-02,58.0488,0.00783,880798
6,2024-01-26,95.6141,0.026887,62650
83,2024-01-21,57.9427,-0.020563,800041
140,2024-03-31,45.7418,-0.016172,46640
186,2024-01-19,97.5899,-0.023623,755184
143,2024-01-20,87.7066,0.00274,-226119
9,2024-03-17,68.8141,0.024851,542363
97,2024-04-10,36.4435,0.017925,625717
122,22/04/2024,25.9129,0.030472,823633
197,2024-04-01,12.7214,-0.044221,605537
16,2024-03-09,59.7257,0.014625,407414
1,2024-03-01,0.0001,3.8e-05,770487
168,2024-01-05,57.0481,0.025889,428211
118,2024-01-16,25.42,0.000785,100363
193,2024-05-19,13.7934,-0.032448,813107
23,2024-01-31,5732.6548,-0.021894,529100
33,2024-02-10,18.0187,-0.004348,644102
190,2024-03-21,8293.8625,0.027897,-1187
44,2024-02-25,22.5796,-0.008528,592388
128,2024-05-28,2245.8416,-0.018763,434123
19,2024-04-07,90.6384,-0.00148,160549
130,13/02/2024,27.9763,0.007938,729657
179,2024-03-08,51.5737,0.007429,359212
36,2024-04-07,8514.5254,0.008789,333410
131,2024-04-09,41.1739,-0.03439,195578
56,2024-04-06,72.2583,0.015647,660502
108,2024-03-06,80.5897,-0.009259,97640
38,2024-04-03,89.9456,-0.037776,516373
69,2024-01-26,39.4506,-0.03176,602832
8,2024-04-17,77.2544,-0.00126,637394
41,2024-04-29,18.9539,-0.012048,497746
13,2024-04-26,26.9853,0.009169,-671251
71,2024-03-04,25.563,0.032584,568974
48,2024-05-28,66.7455,0.007556,14443
112,2024-03-09,96.1679,0.01122,26645
140,2024-03-09,47.8553,0.029287,935998
152,2024-05-11,25.2564,0.016643,656131
108,2024-05-11,80.39,-0.011715,264876
188,2024-03-06,42.6877,-0.02574,245137
12,2024-04-16,67.7757,-0.003005,768209
83,2024-01-28,61.9923,0.047891,-54142
69,2024-04-30,3980.0035,-0.023183,196529
172,2024-04-18,55.984,0.007719,956782
12,2024-03-09,69.8646,0.027723,739443
146,2024-01-04,49.8068,-0.014191,655214
47,04/04/2024,97.2135,0.008008,797866
84,2024-04-05,57.9122,-0.023819,19418
148,2024-01-19,47.1096,0.003565,593464
34,2024-01-19,48.8466,-0.019363,139681
137,2024-01-17,53.5493,3.3e-05,691382
94,2024-02-05,68.9159,-0.032849,183226
153,2024-01-20,95.2141,-0.002559,214454
27,2024-02-20,18.52,0.019852,25789
133,2024-05-14,99.718,0.022532,107813
23,2024-02-19,58.146,-0.007912,696975
154,2024-02-19,16.088,-0.013071,568593
199,2024-05-17,78.1473,0.009557,370271
143,2024-01-03,89.4657,0.022851,247466
185,05/03/2024,4914.666,0.010579,729323
105,2024-04-28,84.825,-0.000211,341937
16,2024-05-20,59.0974,0.003951,745396
23,2024-02-13,59.0007,0.00667,509549
85,08/05/2024,69.0322,-0.043033,200146
165,2024-01-29,57.1236,-0.002245,-16488
94,2024-02-27,0.0001,-0.019429,121093
80,2024-05-28,72.4031,0.02125,437788
107,2024-01-22,15.5658,0.027908,99313
68,2024-01-19,36.0643,0.034322,547849
192,2024-05-09,57.0903,-0.020605,999952
103,2024-01-08,68.4372,-0.041465,763464
96,2024-04-17,90.8018,-0.013472,585267
77,2024-04-25,44.2074,-0.052947,362004
77,2024-01-07,46.1559,-0.011205,691509
10,2024-05-08,37.9556,0.016415,762772
152,2024-05-09,24.1014,-0.029848,36756
35,2024-04-11,54.3877,0.012731,-66423
11,2024-04-19,20.0869,-0.00168,388344
159,2024-04-26,71.7571,-0.013615,185309
23,2024-01-27,56.9208,-0.028817,627674
153,2024-04-16,96.6767,0.012763,211732
154,12/03/2024,16.4304,0.007933,225815
84,2024-03-08,0.0001,0.006191,513975
9,2024-02-21,65.4385,-0.025422,147968
157,2024-03-05,29.7177,-0.007751,111513
56,2024-02-04,69.6602,-0.020871,19979
176,10/05/2024,68.4821,-0.034491,251183
113,2024-02-13,26.3817,0.022882,952254
135,2024-04-16,36.1454,0.019621,620576
141,2024-05-16,83.8758,-0.022891,325651
45,2024-05-28,81.1399,-0.015622,336738
134,2024-02-11,23.1183,-0.007847,168567
188,2024-05-21,43.529,-0.006537,617284
17,2024-05-24,85.3814,0.001344,352222
53,22/01/2024,45.1816,0.00255,168972
124,2024-01-04,20.6074,0.035618,-153585
61,2024-01-25,62.2893,-0.010202,77646
169,2024-02-24,37.0128,-0.242543,622805
119,2024-05-04,44.1998,-0.005949,322507
191,2024-03-08,100.3045,0.009442,17254
81,24/04/2024,24.0756,0.009761,287763
167,2024-01-10,49.1197,8.4e-05,98954
30,01/04/2024,80.0899,-0.01716,-121470
43,2024-04-07,0.0001,0.018266,234068
167,2024-04-29,49.6698,0.011283,667364
182,2024-02-27,56.9183,0.007675,959122
20,2024-05-29,54.3022,-0.003421,517831
21,30/03/2024,38.6723,-0.007295,805122
37,13/04/2024,82.4116,-0.035198,925301
136,2024-01-20,22.048,0.019172,879700
68,2024-03-25,3495.207,0.002423,401110
21,2024-01-28,38.8624,-0.002415,987872
194,2024-03-16,70.3302,-0.007163,653357
22,2024-04-17,86.4513,-0.004536,950555
72,2024-04-08,44.1173,0.009944,346560
192,2024-03-28,57.9279,-0.006236,254921
29,2024-01-07,24.8844,0.009311,193590
114,2024-05-18,8505.6343,-0.007313,596194
166,2024-05-12,50.0244,-0.008592,436949
84,07/01/2024,0.0001,-0.007876,545262
188,2024-02-04,44.3672,0.012593,177583
55,2024-05-22,88.6004,-0.018881,881905
42,2024-05-07,17.0253,0.004703,13201
148,2024-02-23,45.8803,-0.022624,270885
